operator,original_path,mutant_path,equivalent,valid,depqbf_status_original,depqbf_status_mutant,depqbf_median_original,depqbf_median_mutant,depqbf_time_ratio,caqe_status_original,caqe_status_mutant,caqe_median_original,caqe_median_mutant,caqe_time_ratio,line_coverage_original,line_coverage_mutant,line_coverage_delta,branch_coverage_original,branch_coverage_mutant,branch_coverage_delta
tautology_insertion,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt1_20_21.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt1_20_21_tautology_insertion.qdimacs,True,True,SAT,SAT,0.017017645994201303,0.016285958467051387,0.957004186865843,SAT,SAT,0.006234625005163252,0.006111604510806501,0.9802681806436039,47.17516481682383,47.20854543937244,0.03338062254861285,53.9610683567225,53.991247925154674,0.03017956843217462
pure_literal_gen_auto,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt1_20_21.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt1_20_21_pure_literal_gen_auto.qdimacs,True,True,SAT,SAT,0.016539375006686896,0.016619874979369342,1.0048671713804118,SAT,SAT,0.005896187503822148,0.005266812513582408,0.8932572972226963,47.17516481682383,47.16681966118668,-0.008345155637151436,53.9610683567225,53.9610683567225,0.0
pure_literal_gen_pos,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt1_20_21.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt1_20_21_pure_literal_gen_pos.qdimacs,True,True,SAT,SAT,0.016257978975772858,0.015938541502691805,0.9803519568110484,SAT,SAT,0.00589631253387779,0.005313895526342094,0.9012235182261172,47.17516481682383,47.16681966118668,-0.008345155637151436,53.9610683567225,53.9610683567225,0.0
universal_reduction_trigger,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt1_20_21.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt1_20_21_universal_reduction_trigger.qdimacs,True,True,SAT,SAT,0.01629364595282823,0.016139437502715737,0.9905356695144266,SAT,SAT,0.005837770528160036,0.005863416998181492,1.0043931959808532,47.17516481682383,47.20854543937244,0.03338062254861285,53.9610683567225,53.991247925154674,0.03017956843217462
blocked_clause_insertion,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt1_20_21.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt1_20_21_blocked_clause_insertion.qdimacs,True,True,SAT,SAT,0.016227541957050562,0.01611104200128466,0.9928208501278725,SAT,SAT,0.0058679585345089436,0.00590004154946655,1.005467491763776,47.17516481682383,47.17516481682383,0.0,53.9610683567225,53.9610683567225,0.0
blocked_clause_insertion_neg,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt1_20_21.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt1_20_21_blocked_clause_insertion_neg.qdimacs,True,True,SAT,SAT,0.0162859580013901,0.016105104004964232,0.9888950962288844,SAT,SAT,0.005950583494268358,0.005911770567763597,0.993477458716083,47.17516481682383,47.25861637319536,0.08345155637152857,53.9610683567225,54.0666968462351,0.10562848951259696
blocked_clause_insertion_v1,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt1_20_21.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt1_20_21_blocked_clause_insertion_v1.qdimacs,True,True,SAT,SAT,0.016100812528748065,0.01616085396381095,1.0037290934824363,SAT,SAT,0.0059232914936728776,0.005945854529272765,1.0038092056796444,47.17516481682383,47.17516481682383,0.0,53.9610683567225,53.9610683567225,0.0
tautology_insertion,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt24_148_149.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt24_148_149_tautology_insertion.qdimacs,True,True,SAT,SAT,0.023692000017035753,0.02358229149831459,0.9953693855038714,SAT,SAT,0.006749416526872665,0.0069157915422692895,1.0246502812108582,46.983226237169326,47.01660685971794,0.03338062254861285,53.94597857250641,53.97615814093858,0.030179568432167514
pure_literal_gen_auto,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt24_148_149.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt24_148_149_pure_literal_gen_auto.qdimacs,True,True,SAT,SAT,0.024006937514059246,0.023635708435904235,0.9845365916440776,SAT,SAT,0.006907729024533182,0.006301312532741576,0.912211887635157,46.983226237169326,46.974881081532175,-0.008345155637151436,53.94597857250641,53.94597857250641,0.0
pure_literal_gen_pos,/Users/mkhabour/Desktop/QBNF/qbf_transformer/benchmarks/qdimacs__Basler__wmiforward__stmt24_148_149.qdimacs,/Users/mkhabour/Desktop/QBNF/qbf_transformer/mutants/qdimacs__Basler__wmiforward__stmt24_148_149_pure_literal_gen_pos.qdimacs,True,True,SAT,SAT,0.02354320796439424,0.023450292006600648,0.9960533858455434,SAT,SAT,0.0067592079867608845,0.006839812500402331,1.0119251417916604,46.983226237169326,46.974881081532175,-0.008345155637151436,53.94597857250641,53.94597857250641,0.0
